Name, School
Danny Young,	Wake Forest
Anthony Teachey,	Wake Forest
Tom Sluby,	Notre Dame
Willie White,	Tennessee-Chattanooga
Greg Wiltjer,	Victoria (CAN)
Fred Reynolds,	Texas-El Paso
Gary Plummer,	Boston University
Jerome Kersey,	Longwood
Ronnie Williams,	Florida
James Banks,	Georgia
Tim Dillon,	Northern Illinois
Ben McDonald,	California-Irvine
Jim Petersen,	Minnesota
Terry Williams,	Alabama
Ricky Ross,	Tulsa
Roosevelt Chapman,	Dayton
Lewis Jackson,	Alabama State
Jeff Allen,	St. John's (NY)
Joe Binion,	North Carolina A&T
Bobby Parks,	Memphis
Murray Jarman,	Clemson
Leonard Mitchell,	Louisiana State
Jeff Cross,	Maine
David Pope,	Norfolk State
Yommy Sangodeyi,	Sam Houston State
Curtis Green,	Southern Mississippi
Tim Kearney,	West Virginia
Kevin Springman,	Saint Joseph's
Vernon Delancy,	Florida
Butch Graves,	Yale
George Singleton,	Furman
Rick Carlisle,	Virginia
Ralph Jackson,	California-Los Angeles
Melvin Johnson,	North Carolina-Charlotte
Art Aaron,	Northwestern
Willie Jackson,	Centenary (LA)
Marc Glass,	Montana
Jim Grandholm,	South Florida
Mark Halsel,	Northeastern
John Devereaux,	Ohio
Karl Tilleman,	Calgary (CAN)
Carl Henry,	Kansas
Dickie Beal,	Kentucky
Jeff Collins,	Nevada-Las Vegas
Jeff Jenkins,	Xavier
John Horrocks,	North Texas
Hank Cornley,	Illinois State
Jim Rowinski,	Purdue
Bob Thornton,	California-Irvine
Brett Applegate,	Brigham Young
Phillip Smith,	New Mexico
Ozell Jones,	Cal State-Fullerton
Earl Harrison,	Morehead State
John Revelli,	Stanford
Kevin Mullin,	Princeton
Gene Smith,	Georgetown
Lamont Robinson,	Lamar
Vince Hinchen,	Boise State
Al McClain,	New Hampshire
Alonza Allen,	Louisiana-Lafayette
Cohn Irish,	Bowling Green
Eric Richardson,	Alabama
Steve Bartek,	Doane
Jim Foster,	South Carolina
Prince Bridges,	Missouri
Terry Martin,	Louisiana-Monroe
Bill Flye,	Richmond
Eli Pasquale,	Victoria (CAN)
Dave Williams,	Illinois-Chicago
Marcus Gaither,	Fairleigh Dickinson
Michael Gerren,	South Alabama
Scott McCollum,	Pepperdine
Mike Whitmarsh,	San Diego
Rick Doyle,	Texas-San Antonio
Ernie Floyd,	Holy Cross
Dan Federman,	Tennessee
Lance Berwald,	North Dakota State
Todd Orlando,	Bentley
Clyde Vaughn,	Pittsburgh
Jeff Tipton,	Morehead State
Matt Doherty,	North Carolina
Mckinley Singleton,	Alabama-Birmingham
Phillip Haynes,	Memphis
Blaise Bugajeski,	Illinois Wesleyan
Tony Martin,	Wyoming
Dion Brown,	Louisiana-Lafayette
Willie Burton,	Tennessee
Bruce Vanley,	Tulsa
Jim Master,	Kentucky
Herman Veal,	Maryland
Graylin Warner,	Louisiana-Lafayette
LaVerne Evans,	Marshall
Oscar Schmidt,	Juvecaserta Basket (Italy)
Chris Harrison,	West Virginia Wesleyan
Eddielee Wilkins,	Gardner-Webb
Lance Ball,	Western Oregon
Rennie Bailey,	Louisiana Tech
Mike Reddick,	Stetson
Gary Springer,	Iona
Keith Jones,	Stanford
Steve Carfino,	Iowa
Kent Edelin,	Virginia
Butch Hays,	California
Joe Jakubick,	Akron
Joedy Gardner,	Long Beach State
David Brantley,	Oregon
Tim Garrett,	New Mexico
Michael Pitts,	California
Cliff Higgins,	Cal State-Northridge
Chip Harris,	Robert Morris
Mark Simpson,	Catawba
Vince Martello,	Florida State
Raymond Crenshaw,	Oklahoma State
Gary Gatewood,	Oregon
George Turner,	California-Irvine
Bob Evans,	Southern Utah
Sean Kerins,	Syracuse
Ken Bannister,	Saint Augustine's
Victor Anger,	Pepperdine
Barry Francisco,	Bloomsburg
Tony William,	Florida State
Rich Congo,	Drexel
Richard Haenisch,	Chaminade
Mark Van Valkenburg,	Framingham State
Tom Heitz,	Kentucky
Brett Crawford,	United States International
Elliot Beard,	Oberlin
Greg Wolff,	Angelo State
Jim McLoughlin,	Temple
Darryl Odom,	West Virginia Wesleyan
Paul Brozovich,	Nevada-Las Vegas
Dan Tarkanian,	Nevada-Las Vegas
Bill Wendlandt,	Texas
Nate Rollins,	Fort Hays State
Robert Brown,	Long Island-Brooklyn
Mark Fothergill,	Maryland
Jerry McMillan,	DePaul
Leroy Sutton,	Arkansas
Chris Winans,	Utah
Eric Booker,	Nevada-Las Vegas
Ricky Tunstall,	Youngstown State
Steve Flint,	California-San Diego
Dale Roberts,	Appalachian State
Brad Jergenson,	South Carolina
Frank Dobbs,	Villanova
Champ Godboldt,	Holy Cross
Brian Martin,	Kansas
Calvin Pierce,	Oklahoma
John Shimko,	Xavier
Bill Coon,	Presbyterian
Dave Schultz,	Westmont
Mike Emanuel,	North Carolina Pembroke
Melvin Roseboro,	St. Mary's (TX)
Mitch Arnold,	Fresno State
Greg Turner,	Auburn
Cecil Exum,	North Carolina
Fred Brown,	Georgetown
Buddy Cox,	Bellarmine
Mike Williams,	Idaho State
John Tudor,	Louisiana State
Kelly Knight,	Kansas
Billy Ryan,	Princeton
Marc Marotta,	Marquette
Dennis Black,	Portland
Ben Tower,	Michigan State
Edwin Green,	Massachusetts
Michael Mitchell,	Drexel
Joe Dixon,	Merrimack
Gary Carver,	Western Kentucky
Carl Lewis,	Houston
Darrell Space,	Northeastern Illinois
Robert Turner,	Canisius
Dick Mumma,	Penn State
Glynn Myrick,	Stetson
Tim Bell,	California-Riverside
Frank Rodriguez,	New Mexico State
Dexter Bailey,	Xavier
Victor Coleman,	Northwest Missouri State
Doug Mills,	Hofstra
Ezra Hill,	Liberty
Greg Brandon,	Creighton
Napoleon Johnson,	Grambling
Phil Jamison,	St. Peter's
Mike Curran,	Niagara
Mike Henderson,	Long Island Post
Randy Dunn,	George Fox
Dan Pelekoudas,	Michigan
Mike Toomer,	Florida A&M
Martin Clark,	Boston College
Dan Trant,	Clark (MA)
Ralph Sampson,	Virginia
Steve Stipanovich,	Missouri
Rodney McCray,	Louisville
Byron Scott,	Arizona State
Sidney Green,	Nevada-Las Vegas
Russell Cross,	Purdue
Thurl Bailey,	North Carolina State
Antoine Carr,	Wichita State
Dale Ellis,	Tennessee
Jeff Malone,	Mississippi State
Derek Harper,	Illinois
Darrell Walker,	Arkansas
Ennis Whatley,	Alabama
Clyde Drexler,	Houston
Howard Carter,	Louisiana State
Jon Sundvold,	Missouri
Leo Rautins,	Syracuse
Randy Breuer,	Minnesota
John Paxson,	Notre Dame
Roy Hinson,	Rutgers
Greg Kite,	Brigham Young
Randy Wittman,	Indiana
Mitchell Wiggins,	Florida State
Stewart Granger,	Villanova
Sidney Lowe,	North Carolina State
Leroy Combs,	Oklahoma State
John Garris,	Boston College
Rod Foster,	California-Los Angeles
Larry Micheaux,	Houston
Mark West,	Old Dominion
Doc Rivers,	Marquette
Michael Britt,	District of Columbia
Dirk Minniefield,	Kentucky
Guy Williams,	Washington State
Darrell Lockhart,	Auburn
Scooter McCray,	Louisville
David Russell,	St. John's (NY)
Chris McNealy,	San Jose State
Granville Waiters,	Ohio State
Jim Thomas,	Indiana
Ted Kitchel,	Indiana
Mike Davis,	Alabama
Pace Mannion,	Utah
Horace Owens,	Rhode Island
Paul Williams,	Arizona State
Kevin Williams,	St. John's (NY)
Ken Lyons,	North Texas
Craig Ehlo,	Washington State
Greg Jones,	West Virginia
Paul Thompson,	Tulane
Derek Whittenburg,	North Carolina State
Winfred King,	East Tennessee State
Michael Holton,	California-Los Angeles
Bob Hansen,	Iowa
Erich Santifer,	Syracuse
Larry Anderson,	Nevada-Las Vegas
Darren Daye,	California-Los Angeles
John Pinone,	Villanova
Bruce Kuczenski,	Connecticut
Steve Harriel,	Washington State
David Little,	Oklahoma
Tom Piotrowski,	La Salle
Frank Burnell,	Stetson
Claude Riley,	Texas A&M
Billy Goodwin,	St. John's (NY)
Les Craft,	Kansas State
Derrick Hord,	Kentucky
Craig Robinson,	Virginia
Orlando Phillips,	Pepperdine
Dan Ruland,	James Madison
Darrell Browder,	Texas Christian
Terry Fair,	Georgia
Dwight Jones,	Cincinnati
Kalpatrick Wells,	Mississippi State
Ron Crevier,	Boston College
Doug Arnold,	Texas Christian
Peter Thibeaux,	St. Mary's (CA)
Steve Bouchie,	Indiana
Johnny Martin,	Northwestern State
Dan Gay,	Louisiana-Lafayette
Harry Kelley,	Texas Southern
Mark Jones,	St. Bonaventure
York Gross,	California-Santa Barbara
Mike Jackson,	Wyoming
Tim Dunham,	Chaminade
Pete DeBisschop,	Fairfield
Barney Mines,	Bradley
Mark Nickens,	American
Sam Mosley,	Nevada-Reno
Brant Weidner,	William & Mary
Carlos Clark,	Mississippi
Terry Lewis,	Mississippi State
Craig Robinson,	Princeton
Chuck Barnett,	Oklahoma
Roger Stieg,	Mississippi
Chris Logan,	Holy Cross
Manute Bol,	Bridgeport
Tim Andree,	Notre Dame
Greg Hines,	Hampton
Matt Clark,	Oklahoma
Ken Austin,	Rice
Jim Lampley,	Arkansas-Little Rock
Robin Dixon,	New Hampshire
Charles Jones,	Oklahoma
Troy Lee Mikell,	East Tennessee State
Lorenza Andrews,	Oklahoma State
James Braddock,	North Carolina
Gary Monroe,	Wright State
Brad Watson,	Washington
Tyren Naulls,	Texas A&M
Mark Petteway,	New Orleans
Jeff Pehl,	Richmond
Rick Lamb,	Illinois State
Bob Reitz,	Stonehill
Danny Dixon,	Alabama A&M
Mike Milligan,	Tennessee State
Jim Stack,	Northwestern
Cliff Pruitt,	Alabama-Birmingham
Mel McLaughlin,	Central Michigan
Russell Todd,	West Virginia
Ernest Patterson,	New Mexico State
Fred Gilliam,	Clemson
Tom Heywood,	Weber State
Derek Perry,	Michigan State
Billy Allen,	Nevada-Reno
Donald Carroll,	Saint Augustine's
Tom Bethea,	Richmond
Tony Simms,	Boston University
Glenn Green,	Murray State
Alvis Rogers,	Wake Forest
Derrick Pope,	Montana
Tony Wilson,	Western Kentucky
Oscar Taylor,	New Orleans
Charles Hurt,	Kentucky
Edward Bona,	Fordham
Ricky Hooker,	St. Mary's (TX)
Paul Atkins,	Houston Baptist
Mark Steele,	Colorado State
Sedale Threatt,	West Virginia Tech
Brian Kellerman,	Idaho
Tony Brown,	Indiana
John Columbo,	John Carroll
Dan Evans,	Oregon State
Jacque Hill,	Southern California
Peter Williams,	Utah
Joe Kazanowski,	Victoria (CAN)
Rob Gonzalez,	Colorado
Terrell Schlundt,	Marquette
Danny Womack,	Winston-Salem State
Lex Drum,	Alabama-Birmingham
Desi Barimore,	Fresno State
Dane Suttle,	Pepperdine
Maurice McDaniel,	Catawba
Paul Little,	Pennsylvania
Tony Gattis,	Mercer
Keith Bennett,	Sacred Heart
Anthony Hicks,	Xavier
Keith Williams,	Oklahoma Panhandle
Fred Brown,	Virginia Commonwealth
Ron Jackson,	Providence
Ricky Mixon,	Cal State-Fullerton
Tony Bruin,	Syracuse
Jeff Bolding,	Arkansas State
Ray McCallum,	Ball State
Larry Tucker,	Lewis
Mark Gannon,	Iowa
Terry Bradley,	Chicago State
Michael McCombs,	Santa Fe
Doug Harris,	Central Washington
George Wenzel,	Augustana (IL)
Bill Sadler,	Pepperdine
Bernard Perry,	Howard
George Thomas,	Georgia Tech
Mike Lang,	Penn State
Cliff Tribus,	Davidson
Preston Neumayr,	California-Davis
Frank Smith,	Arizona
Ray Smith,	Armstrong
Joe Myers,	Duquesne
Brett Burkholder,	DePaul
Mike Mulquin,	Villanova
Norville Brown,	Oklahoma Christian
Trent Johnson,	Pittsburgh
Gordon Austin,	American
James Campbell,	Oklahoma City
Lynn Mitchem,	Butler
Joe Brown,	Georgia State
David Maxwell,	Fordham
Ray Orange,	Oklahoma Christian
Greg Goorjiam,	Loyola-Marymount
Ron Webb,	Oklahoma Christian
Marlow McLain,	Eastern Michigan
Sherrod Arnold,	Chicago State
Ricky Moreland,	Baltimore
Wil Kotchery,	West Alabama
Charles Jones,	Marshall
Bernard Hill,	Oklahoma Panhandle
Bobby Van Noy,	Catawba
Phil Hopson,	Idaho
Tony Washington,	Hampton
Kevin Black,	Rutgers
Bill Varner,	Notre Dame
Gary Gaspard,	St. Mary's (TX)
Joe Dykstra,	Western Illinois
John Rice,	Massachusetts Boston
Charles Fisher,	James Madison
Mark Smed,	Augustana (SD)
Jon Hanley,	Xavier
Keith Smith,	San Diego State
Tom Emma,	Duke
Odell Mosteller,	Auburn
Michael Zeno,	Long Beach State
Ike Person,	Michigan
Clyde Corley,	Florida International
Isiah Singletary,	Saint Louis
Ronnie Carr,	Western Carolina
Bernard Randolph,	DePaul
Cleveland McCrae,	Catawba
Aaron Haskins,	Washington State
Russ Christianson,	Eastern Oregon
David Binion,	North Carolina Central
Rich Simkus,	Princeton
Bob Kelly,	St. John's (NY)
Bo Overton,	Oklahoma
Lamar Heard,	Georgia
Andy Kupec,	Bentley
James Worthy,	North Carolina
Terry Cummings,	DePaul
Dominique Wilkins,	Georgia
Bill Garnett,	Wyoming
LaSalle Thompson,	Texas
Trent Tucker,	Minnesota
Quintin Dailey,	San Francisco
Clark Kellogg,	Ohio State
Cliff Levingston,	Wichita State
Keith Edmonson,	Purdue
Lafayette Lever,	Arizona State
John Bagley,	Boston College
Sleepy Floyd,	Georgetown
Lester Conner,	Oregon State
David Thirdkill,	Bradley
Terry Teagle,	Baylor
Brook Steppe,	Georgia Tech
Ricky Pierce,	Rice
Rob Williams,	Houston
Paul Pressey,	Tulsa
Eddie Phillips,	Alabama
Mark McNamara,	California
Darren Tillis,	Cleveland State
Oliver Robinson,	Alabama-Birmingham
Bryan Warrick,	Saint Joseph's
Ricky Frazier,	Missouri
Fred Roberts,	Brigham Young
Dave Magley,	Kansas
Scott Hastings,	Arkansas
Wallace Bryant,	San Francisco
Rod Higgins,	Fresno State
Richard Anderson,	California-Santa Barbara
Linton Townes,	James Madison
Vince Taylor,	Duke
Derek Smith,	Louisville
Mitchell Anderson,	Bradley
Audie Norris,	Jackson State
Wayne Sappleton,	Loyola-Chicago
Kevin Magee,	California-Irvine
Guy Morgan,	Wake Forest
Dwight Anderson,	Southern California
Jeff Taylor,	Texas Tech
Jose Slaughter,	Portland
Mike Gibson,	South Carolina Upstate
Russ Schoene,	Tennessee-Chattanooga
Tony Guy,	Kansas
Mike Wilson,	Marquette
Craig Hodges,	Long Beach State
Steve Trumbo,	Brigham Young
Corny Thompson,	Connecticut
Jim Johnstone,	Wake Forest
Dan Caldwell,	Washington
Tyrone Adams,	Kansas State
Willie Jones,	Vanderbilt
Jerry Eaves,	Louisville
Joe Kopicki,	Detroit Mercy
Craig Tucker,	Illinois
Mike Largey,	Upsala
Jimmy Black,	North Carolina
Chris Engler,	Wyoming
Charlie Pittman,	Maryland
Roylin Bond,	Pepperdine
Chuck Nevitt,	North Carolina State
Willie Redden,	South Florida
John Greig,	Oregon
Phillip Lockett,	Alabama
Mike Hackett,	Jacksonville
Dale Solomon,	Virginia Tech
Perry Moss,	Northeastern
Reggie Hannah,	South Alabama
Darius Clemons,	Loyola-Chicago
Mark Eaton,	California-Los Angeles
Rudy Woods,	Texas A&M
Mike Sanders,	California-Los Angeles
Norm Anchrum,	Alabama-Birmingham
Chuck Aleksinas,	Connecticut
Jeff Jones,	Virginia
Walker Russell,	Western Michigan
Eric Smith,	Georgetown
James Griffin,	Illinois
Dino Gregory,	Long Beach State
Tony Brown,	Arkansas
Ken Stancell,	Virginia Commonwealth
Alford Turner,	Louisiana-Lafayette
Andre Gaddy,	George Mason
Rory White,	South Alabama
Tony Grier,	South Florida
Ken Owens,	Idaho
Jerry Beck,	Middle Tennessee State
Craig McCormick,	Western Kentucky
Bruce Atkins,	Duquesne
Greg Stewart,	Tulsa
Terry White,	Texas-El Paso
Gary Carter,	Tennessee
Mike McKay,	Connecticut
Ken Arnold,	Iowa
Ken Simpson,	Grambling
Aaron Howard,	Villanova
Rubin Jackson,	Oklahoma City
Rich DiBenedetto,	Wisconsin-Eau Claire
John Ebeling,	Florida Southern
Mark Hall,	Minnesota
Cherokee Rhone,	Centenary (LA)
Clarence Dickerson,	Hawaii
Chris Giles,	Alabama-Birmingham
Albert Irving,	Alcorn State
Jeff Schneider,	Virginia Tech
Marvin McCrary,	Missouri
Bill Duffy,	Santa Clara
Clarence Swannegan,	Texas Tech
Rod Camp,	Southern Illinois
Jerry Davis,	Detroit Mercy
Howard McNeill,	Seton Hall
Donald Mason,	Fresno State
William Brown,	St. Peter's
Vince Reynolds,	South Florida
Eric Marbury,	Georgia
Alvin Jackson,	Southern University
Wayne Waggoner,	Northwestern State
Poncho Wright,	Louisville
Mike Kanieski,	Dayton
B. B. Fontenet,	Nevada-Reno
Jeff Clark,	Saint Joseph's
Gary Holmes,	Minnesota
Leo Cunningham,	Utah State
Jay Bruchak,	Mount St. Mary's
Byron Williams,	Idaho State
Mel Daniel,	Furman
David Vann,	St. Mary's (CA)
Jake Bethany,	Hardin-Simmons
Chris Brust,	North Carolina
Don Wilson,	Louisiana-Monroe
Jaime Pena,	New Mexico State
Bobby Potts,	North Carolina-Charlotte
Tony Carr,	Wisconsin-Eau Claire
Lynden Rose,	Houston
Kevin Boyle,	Iowa
John Schweitz,	Richmond
Randy Reed,	Kansas State
Eddie Hughes,	Colorado State
Thad Gardner,	Michigan
Bob Grady,	Northwestern
Perry Range,	Illinois
Phil Seymore,	Canisius
Chuck Verderber,	Kentucky
Brad Leaf,	Evansville
Dean Marquardt,	Marquette
Horace Wyatt,	Clemson
Terry Long,	Lamar
Wendell Gibson,	South Carolina
Tony Anderson,	California-Los Angeles
Matt Waldron,	Pacific
Jeb Barlow,	North Carolina
Mike Helms,	Wake Forest
Phil Ward,	North Carolina-Charlotte
Delonte Taylor,	North Texas
Allen Rayhorn,	Northern Illinois
Bobby Austin,	Cincinnati
Maurice Williams,	Southern California
Keith Hilliard,	Missouri State
Phil Collins,	West Virginia
Monty Knight,	Virginia Commonwealth
Jacques Tuz,	Colorado
Rick Campbell,	Middle Tennessee State
Keith Peterson,	Arkansas
Ed Nealy,	Kansas State
Dan Terwilliger,	Siena
Mike Burns,	Nevada-Las Vegas
Donald Reese,	Bradley
Brian Nyenhuis,	Marquette
Dave Porter,	Western Oregon
James Ratiff,	Howard
Ken Luck,	Delaware
Otis Jackson,	Memphis
Mark King,	Florida Southern
Dan Callandrillo,	Seton Hall
Rick Elrod,	Georgetown (KY)
Donny Speer,	Alabama-Birmingham
Chris Faggi,	Memphis
Steve Burks,	Washington
Bryan Leonard,	Illinois
Micah Blunt,	Tulane
Donald Seals,	Jackson State
Ed Spriggs,	Georgetown
Tony Hafley,	South Alabama
John Hegwood,	San Francisco
Riley Clarida,	Long Island-Brooklyn
Ralph McPherson,	Texas-Arlington
Jack Moore,	Nebraska
Merle Scott,	South Carolina State
Skip Dillard,	DePaul
Mike Scearce,	Purdue
Kevin Smith,	Michigan State
Pierre Bland,	Elizabeth City State
Mark Dearborn,	Saint Joseph's
James Terry,	Howard
Gary Johnson,	Oral Roberts
Nick Morken,	Tennessee
Ken Lyles,	Washington
Dean Sears,	California-Los Angeles
Harry O'Brien,	St. Mary's (TX)
Robert Tate,	Idaho State
Tim Byrne,	Rutgers
George Melton,	Cheyney
Panayoti Giannakis,	Hellenic
Durand Walker,	Indiana Wesleyan
Daryl Stovall,	Creighton
Michael Edwards,	New Orleans
Albert Culton,	Texas-Arlington
Robert Estes,	Iowa State
John Leonard,	Manhattan
Tony Britto,	Campbell
Craig Summers,	Wisconsin-Stout
David Coulthard,	York (CAN)
Grant Taylor,	California-Irvine
Ronnie McAdoo,	Old Dominion
Donald Sinclair,	North Carolina Central
Sean Tuohy,	Mississippi
Randy Whieldon,	California-Irvine
Mike Phillips,	Niagara
Dale Wilkinson,	Idaho State
Keith White,	McMurry
Bob Coenen,	Wisconsin-Eau Claire
Randy Burkert,	Drexel
Landon Turner,	Indiana
Mark Aguirre,	DePaul
Isiah Thomas,	Indiana
Buck Williams,	Maryland
Al Wood,	North Carolina
Danny Vranes,	Utah
Orlando Woolridge,	Notre Dame
Steve Johnson,	Oregon State
Tom Chambers,	Utah
Rolando Blackman,	Kansas State
Albert King,	Maryland
Frank Johnson,	Wake Forest
Kelly Tripucka,	Notre Dame
Dan Schayes,	Syracuse
Herb Williams,	Ohio State
Jeff Lamp,	Virginia
Darnell Valentine,	Kansas
Kevin Loder,	Alabama State
Ray Tolbert,	Indiana
Mike McGee,	Michigan
Larry Nance,	Clemson
Alton Lister,	Arizona State
Franklin Edwards,	Cleveland State
Charles Bradley,	Wyoming
Jay Vincent,	Michigan State
Tracy Jackson,	Notre Dame
Brian Jackson,	Utah State
Howard Wood,	Tennessee
Gene Banks,	Duke
Eddie Johnson,	Illinois
Ed Rains,	South Alabama
Danny Ainge,	Brigham Young
Mike Olliver,	Lamar
Samuel Williams,	Arizona State
Ken Green,	Texas-Pan American
Charlie Davis,	Vanderbilt
Ray Blume,	Oregon State
Al Leslie,	Bucknell
Clyde Bradshaw,	DePaul
Harvey Knuckles,	Toledo
Greg Cook,	Louisiana State
Claude Gregory,	Wisconsin
Elvis Rolle,	Florida State
Elston Turner,	Mississippi
Steve Lingenfelter,	South Dakota State
Ed Turner,	Texas A&M-Kingsville
Vernon Smith,	Texas A&M
Art Housey,	Kansas
Mike Ferrara,	Colgate
David Burns,	Saint Louis
Derek Holcomb,	Illinois
Zam Fredrick,	South Carolina
Rudy Macklin,	Louisiana State
Mark Radford,	Oregon State
Jim Smith,	Ohio State
Mickey Dillard,	Florida State
Carlton Neverson,	Pittsburgh
Frank Brickowski,	Penn State
Curtis Berry,	Missouri
Russell Bowers,	American
Purvis Miller,	Southern California
Petur Gudmundsson,	Washington
Sam Clancy,	Pittsburgh
Wayne McKoy,	St. John's (NY)
Tom Baker,	Eastern Kentucky
Ron Cornelius,	Pacific
Craig Dykema,	Long Beach State
Mark Smith,	Illinois
Ernest Graham,	Maryland
John Johnson,	Michigan
Eddie Moss,	Syracuse
John May,	South Alabama
Edmund Sherod,	Virginia Commonwealth
George Torres,	Southern Nazarene
Ethan Martin,	Louisiana State
Kevin Figaro,	Louisiana-Lafayette
Lewis Lloyd,	Drake
Lee Raker,	Virginia
Kenny Dennard,	Duke
Ron Davis,	Arizona
Terry Adolph,	West Texas A&M
Larry Spriggs,	Howard
B. B. Davis,	Lamar
Rolando Frazier,	Briar Cliff
Oliver Lee,	Marquette
Peter Verhoeven,	Fresno State
Alex Bradley,	Villanova
Earl Belcher,	St. Bonaventure
Kevin McKenna,	Creighton
Don Koonce,	North Carolina-Charlotte
Kris Anderson,	Florida State
Stanley Williams,	La Salle
Rynn Wright,	Texas A&M
Pete Budko,	North Carolina
George DeVone,	North Carolina-Charlotte
Joe Cooper,	Colorado
Ken Page,	New Mexico
Mike Clark,	Oregon
Steve Krafscisin,	Iowa
Andra Griffin,	Washington
Dennis Isbell,	Memphis
Willie Sims,	Louisiana State
Hank McDowell,	Memphis
Garry Witts,	Holy Cross
U. S. Reed,	Arkansas
Hasan Houston,	Bradley
George Peterson,	New Jersey City
Herb Andrew,	South Alabama
Johnny Nash,	Arizona State
Jim Wright,	Rhode Island
Mike Rhodes,	Vanderbilt
Craig Watts,	North Carolina State
Paul Heuerman,	Michigan
Kelvin Troy,	Rutgers
Steve Craig,	Brigham Young
Glen Grunwald,	Indiana
Karl Bakowski,	Utah
Vince Brookins,	Iowa
Kevin Lynam,	La Salle
Kevin Sprewer,	Loyola-Chicago
Aaron Strayhorn,	Hawaii
Darryl Warwick,	Hampton
Earl Banks,	Auburn
Mike Pepper,	North Carolina
Alonzo Weatherley,	Denver
Robert Williams,	Grambling
Carter Scott,	Ohio State
Fred Cowan,	Kentucky
Brian Walker,	Purdue
Robert Fronk,	Washington
Roger Burkman,	Louisville
Roshern Arnie,	Texas-El Paso
John Blair,	Monmouth
Norman Shavers,	Jackson State
Kevin Singleton,	California
Pete Harris,	Northeastern
Jo Jo Hunter,	Colorado
Steve Waite,	Iowa
Michael Thomas,	North Park
Danny Davis,	North Carolina-Wilmington
Greg Nance,	West Virginia
Rod Robertson,	Northwestern
Andre Smith,	Nebraska
Mike Robinson,	Central Michigan
Kevin Vesey,	Iona
Tom Sienkiewicz,	Villanova
Randy Johnson,	Colorado State-Pueblo
Greg Manning,	Maryland
Robby Dosty,	Arizona
Randy Martel,	Houston Baptist
Clinton Wheeler,	William Paterson
Joe Faine,	Bowling Green
Larry McKinney,	Boise State
